Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:16,2020-12-09 17:49:17,0.697s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:17,2020-12-09 17:49:18,0.828s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:18,2020-12-09 17:49:18,0.466s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:18,2020-12-09 17:49:19,0.652s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:19,2020-12-09 17:49:19,0.630s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:19,2020-12-09 17:49:20,0.598s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:20,2020-12-09 17:49:21,0.621s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:21,2020-12-09 17:49:21,0.660s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:21,2020-12-09 17:49:22,0.689s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:49:22,2020-12-09 17:49:24,2.003s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:24,2020-12-09 17:49:24,0.335s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:49:24,2020-12-09 17:49:25,0.772s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:49:25,2020-12-09 17:50:00,34.734s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:25,2020-12-09 17:49:49,24.025s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:49,2020-12-09 17:49:50,0.444s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:50,2020-12-09 17:49:50,0.599s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:50,2020-12-09 17:49:51,0.586s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:51,2020-12-09 17:49:51,0.700s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:51,2020-12-09 17:49:52,0.940s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:52,2020-12-09 17:49:53,0.419s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:53,2020-12-09 17:49:54,0.731s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:54,2020-12-09 17:49:54,0.590s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:54,2020-12-09 17:49:55,0.579s,PASSED
